"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2026","160,500","120,200","166,600","120,200","639.19M","33.86%"
"12/01/2025","119,900","102,000","121,200","99,900","382.06M","19.30%"
"11/01/2025","100,500","106,900","112,400","94,500","467.67M","-6.51%"
"10/01/2025","107,500","84,900","108,600","84,700","461.21M","28.13%"
"09/01/2025","83,900","68,400","86,200","67,500","400.28M","20.37%"
"08/01/2025","69,700","70,200","72,400","68,300","280.14M","-2.38%"
"07/01/2025","71,400","60,400","74,000","59,800","488.25M","19.40%"
"06/01/2025","59,800","56,300","61,600","56,200","359.47M","6.41%"
"05/01/2025","56,200","55,000","58,600","53,700","261.64M","1.26%"
"04/01/2025","55,500","58,700","59,600","52,900","314.70M","-3.98%"
"03/01/2025","57,800","53,900","62,000","52,500","406.86M","6.06%"
"02/01/2025","54,500","51,100","59,100","50,800","410.94M","4.01%"
"01/01/2025","52,400","52,700","57,700","51,700","338.45M","-1.50%"
"12/01/2024","53,200","54,300","56,600","51,900","382.74M","-1.85%"
"11/01/2024","54,200","59,000","59,600","49,900","562.07M","-8.45%"
"10/01/2024","59,200","60,500","61,900","55,700","525.76M","-3.74%"
"09/01/2024","61,500","74,500","74,700","61,500","506.04M","-17.23%"
"08/01/2024","74,300","86,000","86,100","70,200","393.21M","-11.44%"
"07/01/2024","83,900","81,500","88,800","80,000","466.61M","2.94%"
"06/01/2024","81,500","74,400","82,500","74,200","337.05M","10.88%"
"05/01/2024","73,500","77,600","81,500","73,500","411.05M","-5.16%"
"04/01/2024","77,500","83,200","86,000","75,100","470.82M","-5.95%"
"03/01/2024","82,400","74,300","82,500","71,700","435.84M","12.26%"
"02/01/2024","73,400","73,000","75,500","72,000","291.95M","0.96%"
"01/01/2024","72,700","78,200","79,800","70,700","361.93M","-7.39%"
"12/01/2023","78,500","72,400","78,500","71,100","250.85M","7.83%"
"11/01/2023","72,800","67,500","73,400","67,300","267.81M","8.82%"
"10/01/2023","66,900","67,400","70,500","66,000","279.99M","-2.19%"
"09/01/2023","68,400","66,800","72,900","66,700","278.12M","2.24%"
"08/01/2023","66,900","70,100","71,200","65,800","254.86M","-4.15%"
"07/01/2023","69,800","72,700","73,600","68,100","299.15M","-3.32%"
"06/01/2023","72,200","70,900","73,400","70,000","260.70M","1.12%"
"05/01/2023","71,400","66,000","72,500","63,600","262.39M","9.01%"
"04/01/2023","65,500","64,000","66,600","62,300","286.75M","2.34%"
"03/01/2023","64,000","60,900","64,000","59,000","267.11M","5.61%"
"02/01/2023","60,600","62,600","64,000","60,200","254.24M","-0.66%"
"01/01/2023","61,000","55,500","65,000","54,500","298.53M","10.31%"
"12/01/2022","55,300","63,100","63,200","55,300","228.50M","-11.09%"
"11/01/2022","62,200","59,900","63,200","58,100","284.92M","4.71%"
"10/01/2022","59,400","55,300","60,100","54,000","320.26M","11.86%"
"09/01/2022","53,100","58,700","58,900","51,800","278.13M","-11.06%"
"08/01/2022","59,700","61,000","61,900","58,200","245.99M","-2.77%"
"07/01/2022","61,400","56,900","62,600","55,700","299.06M","7.72%"
"06/01/2022","57,000","66,600","67,300","56,800","421.25M","-15.43%"
"05/01/2022","67,400","66,600","68,800","64,900","306.84M","0.00%"
"04/01/2022","67,400","69,500","69,600","64,500","307.43M","-3.16%"
"03/01/2022","69,600","72,300","73,100","68,700","284.06M","-3.47%"
"02/01/2022","72,100","74,900","75,800","71,000","230.31M","-1.64%"
"01/01/2022","73,300","79,400","79,800","71,200","277.50M","-6.39%"
"12/01/2021","78,300","72,000","80,800","71,600","335.51M","9.82%"
"11/01/2021","71,300","70,200","76,200","69,600","309.32M","2.15%"
"10/01/2021","69,800","73,900","74,000","68,300","296.27M","-5.80%"
"09/01/2021","74,100","76,700","77,800","73,700","275.50M","-3.39%"
"08/01/2021","76,700","79,200","83,300","72,500","493.09M","-2.29%"
"07/01/2021","78,500","80,500","81,300","78,100","270.32M","-2.73%"
"06/01/2021","80,700","80,500","83,000","79,600","325.98M","0.25%"
"05/01/2021","80,500","81,000","83,500","78,400","344.65M","-1.23%"
"04/01/2021","81,500","82,500","86,200","81,500","368.61M","0.12%"
"03/01/2021","81,400","85,100","85,300","80,600","378.66M","-1.33%"
"02/01/2021","82,500","81,700","86,400","81,000","422.57M","0.61%"
"01/01/2021","82,000","81,000","96,800","80,200","749.96M","1.23%"
